FeatureID	abundance
RS_GCF_003852155.1	46
RS_GCF_900079115.1	86
RS_GCF_000968395.2	99
RS_GCF_003852175.1	40
RS_GCF_003852115.1	69
RS_GCF_000968435.2	49
RS_GCF_000175555.1	51
RS_GCF_000007005.1	96
RS_GCF_003852095.1	84
GB_GCA_007050095.1	53
GB_GCA_007050235.1	49
GB_GCA_007050175.1	15
RS_GCF_001719125.1	8
GB_GCA_007050255.1	27
GB_GCA_007050085.1	26
RS_GCF_007050195.1	57
RS_GCF_009602405.1	33
RS_GCF_009601705.1	67
RS_GCF_001266735.1	14
RS_GCF_001266695.1	65
RS_GCF_001266655.1	75
RS_GCF_001266715.1	17
RS_GCF_000747605.1	15
RS_GCF_000016605.1	28
GB_GCA_002509145.1	88
RS_GCF_001266675.1	76
GB_GCA_005222525.1	19
RS_GCF_003201675.2	59
GB_GCA_001315825.1	78
RS_GCF_000243315.1	52
RS_GCF_000204925.1	71
RS_GCF_013343295.1	50
RS_GCF_008326385.1	18
RS_GCF_008326425.1	89
RS_GCF_001316085.1	21
RS_GCF_009729515.1	34
RS_GCF_001316045.1	18
GB_GCA_002495845.1	28
GB_GCA_013329795.1	63
RS_GCF_000011205.1	13
RS_GCF_009729055.1	97
RS_GCF_014202105.1	8
RS_GCF_012222305.1	47
GB_GCA_000389735.1	12
GB_GCA_003086535.1	74
GB_GCA_000961135.1	6
GB_GCA_000565255.1	78
RS_GCF_013133895.1	56
RS_GCF_000632495.1	33
GB_GCA_003086435.1	98
RS_GCF_000213215.1	67
RS_GCF_009428885.1	24
RS_GCF_009729015.1	30
RS_GCF_003201765.2	32
RS_GCF_002116695.1	21
RS_GCF_009729545.1	20
GB_GCA_014648235.1	61
RS_GCF_003967175.1	89
RS_GCF_003201835.2	14
GB_GCA_003086555.1	94
RS_GCF_009729035.1	95
GB_GCA_009903975.1	21
GB_GCA_000495735.1	58
GB_GCA_000495695.1	55
GB_GCA_000495715.1	35
GB_GCA_000495675.1	86
GB_GCA_002496425.1	63
RS_GCF_003431325.1	68
RS_GCF_000144915.1	18
GB_GCA_011367065.1	16
GB_GCA_011366505.1	27
RS_GCF_004323575.1	38
RS_GCF_000011125.1	77
RS_GCF_000591035.1	75
RS_GCF_001316065.1	71
RS_GCF_000317795.1	99
GB_GCA_002877855.1	88
GB_GCA_002506595.1	6
GB_GCA_013152575.1	33
GB_GCA_011337845.1	54
GB_GCA_011056405.1	87
GB_GCA_011368075.1	14
GB_GCA_011380305.1	21
GB_GCA_011366425.1	90
GB_GCA_011369745.1	29
GB_GCA_011364565.1	80
GB_GCA_011388775.1	1
GB_GCA_011368415.1	59
GB_GCA_011375725.1	61
GB_GCA_011361945.1	54
GB_GCA_003056265.1	80
GB_GCA_002255065.1	43
GB_GCA_003661745.1	50
GB_GCA_011373125.1	49
GB_GCA_011375535.1	72
GB_GCA_011057105.1	57
GB_GCA_002871295.1	95
RS_GCF_000258425.1	44
GB_GCA_009904015.1	31
GB_GCA_011048525.1	44
GB_GCA_011057145.1	65
GB_GCA_002899805.1	7
GB_GCA_011333245.1	88
GB_GCA_009904115.1	37
GB_GCA_011380215.1	76
GB_GCA_003177295.1	22
RS_GCF_003116855.1	76
GB_GCA_009889545.1	43
GB_GCA_011056395.1	58
GB_GCA_011380155.1	59
GB_GCA_009903825.1	91
RS_GCF_000231015.2	30
RS_GCF_000020905.1	56
RS_GCF_000513855.1	41
RS_GCF_001006085.1	51
RS_GCF_000186365.1	73
GB_GCA_011366445.1	63
GB_GCA_011364525.1	50
GB_GCA_002496045.1	61
GB_GCA_002495025.1	87
GB_GCA_011380145.1	50
GB_GCA_011056815.1	4
GB_GCA_011375785.1	10
GB_GCA_011380285.1	42
GB_GCA_011375875.1	17
GB_GCA_009904025.1	42
RS_GCF_000264495.1	23
GB_GCA_011366735.1	39
GB_GCA_011366845.1	41
GB_GCA_011364225.1	93
GB_GCA_011369685.1	89
GB_GCA_002254665.1	80
RS_GCF_000092185.1	95
GB_GCA_011053855.1	58
GB_GCA_003661825.1	4
RS_GCF_000015945.1	40
RS_GCF_000092465.1	18
GB_GCA_013154205.1	51
GB_GCA_011388575.1	14
GB_GCA_011375585.1	38
GB_GCA_011366815.1	91
GB_GCA_011366545.1	79
GB_GCA_011330825.1	36
GB_GCA_011362275.1	56
GB_GCA_011364515.1	98
GB_GCA_011366635.1	66
GB_GCA_011051125.1	34
GB_GCA_011361755.1	50
GB_GCA_011380255.1	12
GB_GCA_011364155.1	28
GB_GCA_011055355.1	17
GB_GCA_011057405.1	77
GB_GCA_000145985.1	39
GB_GCA_003661865.1	90
GB_GCA_003661775.1	21
GB_GCA_003661905.1	28
GB_GCA_013154235.1	49
RS_GCF_002194565.1	34
RS_GCF_001412615.1	40
RS_GCF_001462395.1	18
GB_GCA_013153145.1	59
GB_GCA_013153105.1	80
GB_GCA_013540595.1	1
GB_GCA_003978665.1	100
RS_GCF_000223395.1	94
RS_GCF_000015145.1	34
RS_GCF_000017945.1	58
GB_GCA_013329705.1	89
GB_GCA_013154085.1	8
RS_GCF_001481685.1	80
GB_GCA_011380355.1	46
GB_GCA_000398765.1	47
GB_GCA_000405885.1	62
GB_GCA_000380705.1	27
GB_GCA_000494205.1	42
GB_GCA_000399825.1	71
GB_GCA_000402095.1	44
GB_GCA_011056475.1	48
GB_GCA_000375685.1	49
GB_GCA_003019475.1	33
GB_GCA_003019535.1	70
GB_GCA_003019515.1	18
GB_GCA_003019545.1	28
GB_GCA_003019485.1	34
GB_GCA_003019345.1	80
RS_GCF_902812505.1	76
GB_GCA_003019415.1	69
GB_GCA_003019385.1	27
GB_GCA_003019595.1	71
GB_GCA_003019615.1	21
GB_GCA_011055275.1	12
GB_GCA_002507085.1	76
GB_GCA_009889555.1	60
RS_GCF_000007225.1	8
GB_GCA_013329805.1	15
RS_GCF_003400145.1	9
RS_GCF_003400025.1	69
GB_GCA_009888185.1	50
RS_GCF_000016385.1	41
RS_GCF_013414235.1	37
GB_GCA_000247545.1	25
GB_GCA_001189275.1	87
GB_GCA_000015805.1	40
RS_GCF_000234805.1	27
RS_GCF_000015205.1	74
RS_GCF_000019805.1	6
GB_GCA_009903905.1	93
RS_GCF_002077075.2	57
GB_GCA_001516665.1	39
GB_GCA_001516655.1	19
GB_GCA_011056725.1	94
RS_GCF_000253055.1	43
GB_GCA_009903945.1	27
GB_GCA_002497345.1	2
GB_GCA_000960885.1	6
RS_GCF_000193375.1	35
GB_GCA_009903815.1	24
GB_GCA_001516725.1	85
GB_GCA_011054495.1	26
RS_GCF_001663375.1	38
GB_GCA_002506515.1	6
RS_GCF_000018305.1	39
GB_GCA_001516765.1	50
GB_GCA_009903725.1	41
GB_GCA_001516705.1	53
GB_GCA_014646555.1	41
GB_GCA_001316025.1	59
GB_GCA_001316145.1	59
RS_GCF_000148385.1	66
GB_GCA_001316005.1	76
GB_GCA_001316285.1	79
GB_GCA_001315985.1	16
GB_GCA_002506645.1	42
RS_GCF_000190315.1	35
GB_GCA_001316125.1	32
GB_GCA_001316245.1	95
GB_GCA_001316265.1	36
GB_GCA_002496475.1	13
GB_GCA_014646535.1	92
RS_GCF_001315925.1	39
GB_GCA_001516585.1	32
GB_GCA_002508315.1	3
GB_GCA_013153895.1	52
GB_GCA_013154355.1	23
GB_GCA_013153275.1	58
GB_GCA_002254895.1	19
RS_GCF_001748385.1	69
GB_GCA_003649205.1	31
GB_GCA_011046265.1	28
RS_GCF_000446015.1	74
RS_GCF_000813245.1	36
GB_GCA_009903875.1	90
RS_GCF_000015225.1	71
GB_GCA_003649495.1	19
GB_GCA_003649375.1	77
GB_GCA_011375505.1	92
GB_GCA_011053655.1	64
GB_GCA_011372935.1	34
GB_GCA_011055445.1	30
GB_GCA_011369665.1	27
GB_GCA_011364205.1	99
GB_GCA_011364825.1	82
GB_GCA_011051395.1	24
GB_GCA_011372985.1	14
GB_GCA_011363115.1	27
GB_GCA_011047595.1	38
GB_GCA_002855745.1	82
RS_GCF_000993805.1	4
GB_GCA_011039795.1	71
GB_GCA_003649225.1	16
GB_GCA_003650815.1	60
GB_GCA_003649305.1	37
GB_GCA_003649445.1	20
GB_GCA_003649345.1	30
GB_GCA_003649515.1	9
GB_GCA_003650785.1	87
GB_GCA_003650675.1	29
GB_GCA_002254595.1	54
GB_GCA_003649235.1	17
GB_GCA_003650925.1	9
GB_GCA_003650905.1	70
GB_GCA_003649685.1	70
GB_GCA_003649665.1	96
GB_GCA_002254745.1	98
GB_GCA_011375895.1	5
GB_GCA_010028325.1	50
GB_GCA_010030505.1	81
GB_GCA_010030475.1	84
GB_GCA_010028385.1	37
GB_GCA_010030375.1	79
GB_GCA_010030425.1	5
GB_GCA_010028465.1	32
GB_GCA_010028495.1	54
GB_GCA_010030525.1	56
GB_GCA_010028435.1	58
GB_GCA_010028425.1	98
GB_GCA_010028485.1	13
GB_GCA_002499525.1	30
GB_GCA_013331435.1	62
GB_GCA_013329425.1	41
GB_GCA_013330565.1	8
GB_GCA_013330645.1	47
GB_GCA_002498105.1	27
GB_GCA_004322465.1	11
RS_GCF_000685395.1	19
GB_GCA_900299125.1	17
RS_GCF_000955905.1	67
GB_GCA_005240025.1	60
RS_GCF_002787055.1	38
RS_GCF_013407275.1	73
RS_GCF_000723185.1	78
RS_GCF_013390485.1	39
RS_GCF_013390855.1	2
RS_GCF_013390865.1	69
RS_GCF_013390395.1	92
RS_GCF_013390845.1	55
RS_GCF_013390875.1	80
RS_GCF_013390495.1	46
RS_GCF_013390475.1	64
GB_GCA_012928605.1	21
RS_GCF_013390905.1	97
GB_GCA_002737455.1	72
GB_GCA_005799035.1	100
GB_GCA_005787845.1	28
GB_GCA_005790655.1	65
GB_GCA_001510225.1	44
GB_GCA_005778305.1	8
GB_GCA_005798385.1	13
GB_GCA_009694705.1	10
GB_GCA_013329465.1	26
GB_GCA_002508395.1	52
GB_GCA_013329365.1	97
GB_GCA_001437625.1	50
GB_GCA_000746765.1	13
GB_GCA_000722915.1	79
GB_GCA_000746745.1	47
GB_GCA_011088205.1	18
GB_GCA_011087695.1	65
GB_GCA_014075315.1	28
GB_GCA_003724325.1	9
GB_GCA_003724255.1	89
GB_GCA_003331425.1	91
GB_GCA_002690535.1	68
GB_GCA_000724145.1	4
GB_GCA_000746785.1	78
RS_GCF_014078535.1	42
RS_GCF_000875775.1	21
GB_GCA_003702495.1	21
GB_GCA_008080855.1	97
GB_GCA_003724285.1	50
GB_GCA_003724235.1	27
RS_GCF_000299365.1	20
RS_GCF_000328945.1	21
GB_GCA_007571005.1	92
GB_GCA_007571135.1	79
GB_GCA_002494985.1	20
GB_GCA_002506665.1	48
GB_GCA_013043295.1	22
GB_GCA_013002265.1	42
GB_GCA_002730325.1	39
RS_GCF_001541925.1	97
RS_GCF_000956175.1	57
RS_GCF_013407185.1	8
GB_GCA_000746685.1	4
GB_GCA_003702525.1	45
GB_GCA_902514275.1	71
RS_GCF_000242875.2	58
GB_GCA_003702465.1	95
RS_GCF_000299395.1	83
GB_GCA_001543015.1	92
RS_GCF_013407145.1	52
GB_GCA_002788515.1	78
GB_GCA_000484975.1	53
GB_GCA_013215285.1	32
RS_GCF_000018465.1	77
GB_GCA_003702545.1	2
RS_GCF_013407165.1	5
GB_GCA_008080815.1	29
RS_GCF_003175215.1	16
RS_GCF_002156965.1	74
GB_GCA_013911135.1	71
GB_GCA_013867245.1	38
GB_GCA_001510275.1	95
GB_GCA_013203245.1	6
GB_GCA_007571225.1	1
GB_GCA_014384555.1	63
GB_GCA_014384445.1	66
RS_GCF_006740685.1	18
RS_GCF_014078525.1	3
RS_GCF_900620265.1	1
GB_GCA_002317795.1	61
GB_GCA_902514095.1	3
GB_GCA_009842575.1	15
GB_GCA_009837825.1	80
GB_GCA_009844325.1	38
GB_GCA_009841735.1	84
GB_GCA_009837245.1	78
GB_GCA_009841175.1	6
GB_GCA_009844685.1	38
GB_GCA_009836545.1	49
GB_GCA_009840065.1	10
GB_GCA_009843815.1	77
GB_GCA_009839185.1	69
GB_GCA_009846455.1	39
GB_GCA_902567315.1	71
RS_GCF_000812185.1	81
GB_GCA_902591065.1	46
GB_GCA_012928565.1	27
RS_GCF_003045125.1	14
GB_GCA_902592435.1	18
GB_GCA_902588995.1	95
GB_GCA_001627235.1	62
GB_GCA_001627075.1	69
GB_GCA_001627015.1	14
GB_GCA_002724795.1	8
GB_GCA_001627095.1	35
RS_GCF_013390375.1	16
GB_GCA_000484935.1	25
GB_GCA_000484895.1	51
RS_GCF_013390385.1	29
GB_GCA_000402075.1	33
GB_GCA_014384145.1	6
GB_GCA_902512865.1	55
GB_GCA_902608175.1	26
GB_GCA_002698885.1	25
GB_GCA_001510295.1	59
GB_GCA_902606945.1	9
GB_GCA_002709285.1	75
GB_GCA_012964965.1	31
RS_GCF_013390745.1	26
GB_GCA_902578515.1	24
GB_GCA_902590655.1	86
GB_GCA_902606965.1	74
GB_GCA_000746705.1	60
RS_GCF_013390765.1	59
GB_GCA_902566725.1	5
RS_GCF_013390785.1	32
GB_GCA_902511735.1	86
GB_GCA_902552015.1	7
GB_GCA_013867335.1	65
GB_GCA_013867285.1	58
GB_GCA_013867345.1	51
GB_GCA_013867305.1	43
GB_GCA_009937485.1	19
GB_GCA_011773785.1	100
GB_GCA_011772925.1	56
GB_GCA_011771385.1	14
GB_GCA_011773125.1	99
GB_GCA_001917995.1	2
GB_GCA_005877475.1	98
GB_GCA_001918475.1	11
GB_GCA_005877295.1	43
GB_GCA_001917505.1	74
GB_GCA_001918995.1	1
GB_GCA_001920395.1	82
GB_GCA_013289235.1	26
GB_GCA_013288545.1	84
RS_GCF_011319465.1	37
RS_GCF_900143675.1	32
RS_GCF_900177045.1	36
RS_GCF_011319475.1	35
GB_GCA_005877205.1	41
GB_GCA_007280465.1	64
RS_GCF_900065925.1	33
RS_GCF_900167955.1	6
GB_GCA_005798405.1	69
GB_GCA_005798995.1	46
GB_GCA_005790695.1	23
GB_GCA_005776525.1	96
GB_GCA_009697445.1	27
GB_GCA_013521055.1	36
GB_GCA_002737445.1	31
GB_GCA_014193235.1	49
GB_GCA_003569705.1	73
GB_GCA_000204585.1	13
RS_GCF_000241145.1	48
RS_GCF_013407385.1	92
RS_GCF_000220175.1	29
GB_GCA_009697485.1	48
GB_GCA_004297665.1	29
GB_GCA_013140415.1	30
GB_GCA_012030815.1	44
GB_GCA_003352265.1	29
GB_GCA_003352285.1	36
GB_GCA_003352245.1	25
GB_GCA_003352295.1	38
RS_GCF_014078545.1	46
GB_GCA_003724215.1	90
GB_GCA_003724275.1	39
GB_GCA_003724175.1	35
GB_GCA_000200715.1	69
GB_GCA_007570915.1	13
GB_GCA_011523285.1	32
GB_GCA_012271085.1	39
GB_GCA_005877115.1	71
GB_GCA_005877305.1	57
GB_GCA_013287935.1	84
GB_GCA_013287585.1	26
GB_GCA_007280335.1	10
GB_GCA_002781805.1	70
GB_GCA_008974855.1	21
GB_GCA_001443365.1	25
GB_GCA_013330055.1	73
GB_GCA_011055585.1	89
GB_GCA_005877425.1	92
GB_GCA_002495135.1	57
GB_GCA_005877195.1	49
GB_GCA_002495575.1	63
GB_GCA_002508435.1	67
GB_GCA_005877395.1	97
GB_GCA_001917965.1	78
GB_GCA_002501845.1	96
GB_GCA_002494895.1	81
GB_GCA_013388945.1	52
RS_GCF_000730285.1	59
RS_GCF_000303155.1	21
RS_GCF_000698785.1	7
GB_GCA_013114715.1	78
GB_GCA_002501935.1	84
GB_GCA_002501855.1	54
GB_GCA_002495965.1	15
GB_GCA_002498345.1	1
GB_GCA_002504425.1	42
GB_GCA_002496625.1	19
GB_GCA_003176995.1	29
GB_GCA_009665115.1	66
RS_GCF_009898475.1	45
GB_GCA_005877385.1	30
GB_GCA_005877075.1	23
GB_GCA_005877095.1	56
GB_GCA_005877345.1	92
GB_GCA_014523595.1	61
GB_GCA_014523495.1	33
GB_GCA_014523525.1	79
RS_GCF_009861625.1	93
RS_GCF_008389435.1	45
RS_GCF_001870125.1	54
GB_GCA_902826075.1	21
GB_GCA_013114705.1	76
GB_GCA_013821245.1	27
RS_GCF_007826885.1	88
RS_GCF_900696045.1	30
GB_GCA_009379865.1	56
GB_GCA_013694585.1	16
GB_GCA_000802205.2	8
GB_GCA_014523665.1	23
GB_GCA_009377575.1	30
GB_GCA_014523625.1	63
GB_GCA_014523695.1	54
GB_GCA_014523515.1	2
GB_GCA_014523485.1	18
GB_GCA_013114725.1	89
GB_GCA_014523685.1	46
GB_GCA_013306055.1	63
GB_GCA_013306135.1	52
GB_GCA_013306035.1	2
GB_GCA_013306115.1	19
GB_GCA_002494565.1	39
GB_GCA_013306075.1	22
GB_GCA_002717165.1	16
GB_GCA_002495905.1	71
GB_GCA_002505305.1	80
GB_GCA_002508305.1	56
GB_GCA_013378375.1	27
GB_GCA_002693165.1	7
GB_GCA_013378385.1	64
GB_GCA_002713205.1	27
RS_GCF_900248165.1	78
RS_GCF_002906215.1	53
GB_GCA_011058825.1	95
GB_GCA_002898445.1	10
GB_GCA_013538705.1	6
GB_GCA_011373145.1	79
GB_GCA_013538805.1	86
GB_GCA_013538695.1	9
GB_GCA_002898655.1	8
GB_GCA_013538675.1	1
GB_GCA_013538715.1	66
GB_GCA_013538795.1	94
GB_GCA_005877455.1	9
GB_GCA_005877225.1	24
GB_GCA_005877275.1	9
GB_GCA_005877765.1	67
GB_GCA_005877365.1	7
GB_GCA_002495205.1	45
GB_GCA_005877185.1	18
GB_GCA_003164815.1	88
GB_GCA_003139715.1	73
GB_GCA_003135575.1	26
RS_GCF_902812495.1	32
GB_GCA_002713325.1	68
GB_GCA_012928585.1	82
GB_GCA_002494485.1	54
GB_GCA_011331095.1	1
GB_GCA_011358735.1	75
GB_GCA_013388925.1	65
GB_GCA_011355215.1	50
GB_GCA_011605775.1	9
GB_GCA_002495315.1	93
RS_GCF_902812485.1	22
GB_GCA_013288145.1	7
GB_GCA_011363045.1	87
GB_GCA_011331845.1	38
GB_GCA_011375525.1	82
GB_GCA_011056145.1	84
GB_GCA_011369765.1	14
GB_GCA_011364235.1	48
GB_GCA_003056285.1	85
GB_GCA_011364615.1	27
GB_GCA_011364075.1	21
GB_GCA_011337925.1	31
GB_GCA_011375845.1	94
GB_GCA_000405685.1	11
GB_GCA_011363825.1	75
GB_GCA_003660635.1	16
GB_GCA_002255105.1	7
GB_GCA_011373025.1	37
GB_GCA_000402965.1	9
GB_GCA_000494185.1	91
GB_GCA_000494145.1	52
GB_GCA_000405905.1	47
GB_GCA_011364265.1	56
GB_GCA_011369755.1	82
GB_GCA_011362255.1	22
GB_GCA_011334935.1	32
GB_GCA_009889515.1	15
GB_GCA_011373505.1	46
GB_GCA_002898395.1	90
GB_GCA_011373385.1	71
GB_GCA_011373365.1	37
GB_GCA_011364605.1	30
GB_GCA_011364015.1	35
GB_GCA_011373645.1	50
GB_GCA_000270325.1	33
GB_GCA_011373345.1	32
GB_GCA_002898355.1	43
GB_GCA_011043415.1	63
GB_GCA_003661505.1	31
GB_GCA_003661525.1	3
GB_GCA_002011085.1	97
GB_GCA_002011075.1	83
GB_GCA_011054345.1	11
GB_GCA_009903775.1	94
RS_GCF_013340765.1	25
GB_GCA_002506605.1	78
GB_GCA_002499005.1	81
GB_GCA_009903795.1	78
GB_GCA_011333845.1	11
GB_GCA_014361085.1	13
GB_GCA_903893145.1	20
GB_GCA_903833115.1	31
GB_GCA_903901015.1	62
GB_GCA_903884205.1	62
GB_GCA_903865415.1	91
GB_GCA_009786255.1	33
GB_GCA_009787585.1	67
GB_GCA_009786585.1	43
GB_GCA_009783705.1	59
GB_GCA_009778815.1	90
GB_GCA_003141855.1	21
GB_GCA_003141295.1	42
GB_GCA_009781675.1	12
GB_GCA_009785285.1	35
GB_GCA_009787255.1	16
GB_GCA_009787175.1	15
GB_GCA_009779045.1	99
GB_GCA_009784175.1	92
GB_GCA_012513715.1	63
GB_GCA_003151735.1	16
GB_GCA_012515445.1	21
GB_GCA_011367965.1	37
GB_GCA_009781395.1	96
GB_GCA_003133625.1	52
GB_GCA_003164295.1	97
GB_GCA_003165195.1	26
GB_GCA_012511995.1	28
GB_GCA_011332615.1	79
RS_GCF_003589585.1	59
GB_GCA_009778385.1	23
GB_GCA_009776805.1	30
GB_GCA_011369675.1	52
GB_GCA_011388725.1	5
GB_GCA_011373895.1	14
GB_GCA_011046575.1	94
GB_GCA_011373445.1	78
GB_GCA_003661945.1	22
GB_GCA_011040605.1	87
GB_GCA_002010925.1	63
GB_GCA_002507245.1	86
GB_GCA_013330975.1	41
GB_GCA_013330935.1	70
GB_GCA_003601665.1	47
GB_GCA_003601605.1	59
GB_GCA_002010975.1	96
GB_GCA_011051215.1	8
GB_GCA_011054055.1	70
GB_GCA_011366335.1	20
GB_GCA_011364805.1	4
GB_GCA_011374045.1	42
GB_GCA_011373965.1	62
GB_GCA_011366615.1	6
GB_GCA_011364585.1	51
GB_GCA_003662705.1	90
GB_GCA_003601785.1	26
GB_GCA_003662325.1	56
GB_GCA_004376975.1	75
GB_GCA_011370995.1	75
GB_GCA_007050895.1	83
GB_GCA_001273335.1	100
GB_GCA_013388895.1	53
GB_GCA_013388905.1	56
GB_GCA_011334665.1	6
GB_GCA_011053435.1	11
GB_GCA_009889605.1	86
GB_GCA_003601875.1	61
GB_GCA_001273385.1	10
GB_GCA_002779555.1	12
GB_GCA_003601845.1	57
GB_GCA_001593925.1	89
GB_GCA_002254475.1	93
GB_GCA_001593935.1	15
GB_GCA_011366715.1	84
GB_GCA_011364715.1	96
GB_GCA_011363945.1	49
GB_GCA_011364385.1	56
GB_GCA_011366945.1	49
GB_GCA_011380195.1	61
GB_GCA_011363705.1	31
GB_GCA_003662645.1	76
GB_GCA_003601695.1	8
GB_GCA_003661975.1	31
GB_GCA_001593845.1	27
GB_GCA_003601725.1	99
GB_GCA_003601835.1	12
GB_GCA_001399795.1	66
GB_GCA_002509245.1	84
GB_GCA_004376295.1	78
GB_GCA_004377325.1	22
GB_GCA_003096255.1	1
GB_GCA_004376385.1	39
GB_GCA_003096235.1	90
GB_GCA_001399805.1	16
GB_GCA_003662715.1	15
GB_GCA_002490245.1	79
GB_GCA_003601655.1	79
GB_GCA_009889585.1	31
GB_GCA_004376645.1	69
GB_GCA_001918315.1	15
GB_GCA_005883755.1	50
GB_GCA_001920575.1	53
GB_GCA_001915065.1	5
GB_GCA_005882905.1	21
GB_GCA_005883735.1	46
GB_GCA_005881655.1	7
GB_GCA_005882885.1	34
GB_GCA_005882895.1	5
GB_GCA_005884635.1	85
GB_GCA_001919285.1	17
GB_GCA_005883075.1	93
GB_GCA_005884215.1	20
GB_GCA_001918745.1	74
GB_GCA_001919175.1	53
GB_GCA_005884195.1	54
GB_GCA_005881695.1	86
GB_GCA_005882955.1	11
GB_GCA_005883085.1	10
GB_GCA_005888745.1	23
GB_GCA_005881615.1	40
GB_GCA_005884605.1	27
GB_GCA_005883695.1	12
GB_GCA_005888635.1	99
GB_GCA_001918765.1	33
GB_GCA_005888755.1	2
GB_GCA_002495485.1	37
GB_GCA_005888735.1	57
GB_GCA_005888795.1	91
GB_GCA_005888695.1	88
GB_GCA_005888675.1	67
GB_GCA_011371795.1	62
GB_GCA_011369655.1	17
GB_GCA_011338225.1	53
GB_GCA_011355205.1	53
GB_GCA_007050885.1	20
GB_GCA_001775955.1	88
GB_GCA_011358085.1	13
GB_GCA_011389385.1	86
GB_GCA_003152955.1	94
GB_GCA_001768965.1	81
GB_GCA_003662625.1	24
GB_GCA_003662515.1	55
GB_GCA_003662305.1	83
GB_GCA_003662485.1	42
GB_GCA_001593855.1	67
GB_GCA_002011035.1	5
GB_GCA_002009985.1	44
GB_GCA_003604315.1	22
GB_GCA_002254975.1	87
GB_GCA_003661965.1	88
GB_GCA_001593865.1	81
GB_GCA_003662455.1	85
GB_GCA_011366665.1	79
GB_GCA_011364325.1	33
GB_GCA_011374155.1	65
GB_GCA_011369595.1	63
GB_GCA_011361905.1	7
GB_GCA_011366745.1	37
GB_GCA_011367275.1	3
GB_GCA_011375775.1	56
GB_GCA_001593875.1	47
GB_GCA_014381835.1	63
GB_GCA_002726865.1	69
GB_GCA_003601775.1	67
GB_GCA_001775965.1	50
GB_GCA_001776015.1	91
GB_GCA_013619005.1	60
GB_GCA_013329615.1	63
GB_GCA_001774245.1	96
GB_GCA_003662205.1	48
GB_GCA_003662535.1	85
GB_GCA_002255025.1	19
GB_GCA_011040545.1	79
GB_GCA_001775995.1	49
GB_GCA_004347915.1	67
GB_GCA_011369775.1	51
GB_GCA_011366535.1	53
GB_GCA_004347965.1	39
GB_GCA_003649565.1	71
GB_GCA_011605835.1	24
GB_GCA_003650865.1	12
GB_GCA_011369545.1	55
GB_GCA_011362155.1	87
GB_GCA_011364865.1	21
GB_GCA_011364685.1	85
GB_GCA_003649615.1	46
GB_GCA_011375665.1	34
GB_GCA_001717005.1	35
GB_GCA_002507395.1	70
GB_GCA_001717035.1	3
GB_GCA_002504985.1	24
GB_GCA_001717025.1	2
GB_GCA_011329225.1	10
GB_GCA_004212145.1	83
GB_GCA_004348015.1	27
GB_GCA_011605765.1	19
GB_GCA_011605805.1	14
GB_GCA_004347955.1	26
GB_GCA_011362965.1	43
GB_GCA_014361445.1	37
GB_GCA_001717015.1	90
